Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
5/08/2004,35.61,-1.51,-4.067887931,37.48,37.48,35.38,36.1,7.19217405,29251363,91.66474475,104.6782453,8056372,9193263,8402308
6/08/2004,35.49,-0.12,-0.336983993,35.03,36.67,34.85,35.79,7.19217405,29251363,125.2337681,142.9063911,8122495,9351675,11513070
9/08/2004,35.32,-0.17,-0.479008171,35.34,36.3,34.85,35.57,7.19217405,29251363,98.02699726,112.8614485,8163760,9402306,9167166
10/08/2004,37.1,1.78,5.039637599,35.56,37.2,35.55,36.56,7.19217405,29251363,107.3369695,123.6213489,8223949,9355249,10092150
11/08/2004,36.56,-0.54,-1.455525606,36.4,36.9,35.6,36.3,7.19217405,29251363,100.9921592,114.8848014,8256612,9383721,9448068
12/08/2004,36.29,-0.27,-0.738512035,36.21,37.35,36.17,36.76,7.19217405,29251363,97.18255038,110.4489201,8267404,9457295,9119339
13/08/2004,36.13,-0.16,-0.440892808,36.56,37,35.87,36.29,6.010161515,24443988,52.66921238,60.24966063,8256760,9382676,4981083
16/08/2004,37.95,1.82,5.037365071,36.14,38.4,35.98,37.59,6.010161515,24443988,87.02594479,98.89305674,8281750,9492777,8165362
17/08/2004,38.23,0.28,0.737812912,38.49,39.44,37.9,38.69,6.010161515,24443988,117.594355,134.7899886,8355214,9659646,11162970
18/08/2004,39.36,1.13,2.955793879,37.92,39.54,37.42,38.58,6.010161515,24443988,98.93587823,114.3819466,8362738,9760106,9556856
19/08/2004,38.63,-0.73,-1.854674797,40.34,40.48,36.35,38.93,6.010161515,24443988,130.1062776,151.8463262,8455545,9848909,12698510
20/08/2004,39.51,0.88,2.278022262,38.45,39.91,38.11,39.38,6.010161515,24443988,68.98232954,80.34972032,8467431,9807593,6794007
23/08/2004,39.45,-0.06,-0.151860289,39.89,40,39.11,39.49,6.010161515,24443988,56.42764609,65.35859758,8460582,9756277,5534194
24/08/2004,39.05,-0.4,-1.013941698,39.75,39.93,38.32,38.94,6.010161515,24443988,78.31220107,90.30531435,8483216,9847329,7640355
25/08/2004,40.3,1.25,3.201024328,39.01,40.49,38.16,39.5,6.010161515,24443988,73.67234477,85.51895582,8470564,9920295,7254758
26/08/2004,40.19,-0.11,-0.272952854,40.18,40.83,39.7,40.28,6.010161515,24443988,70.33631277,82.37432574,8488621,9977974,6977570
27/08/2004,39.9,-0.29,-0.72157253,40.31,40.39,39.6,39.96,6.010161515,24443988,42.49693431,49.9531406,8431558,9809882,4240333
30/08/2004,38.31,-1.59,-3.984962406,39.91,39.95,38.25,38.71,6.010161515,24443988,78.61192151,91.46277893,8449906,9738396,7711737
31/08/2004,38.14,-0.17,-0.443748369,38.38,38.85,37.86,38.19,6.010161515,24443988,63.16387022,72.7954626,8342666,9689227,6151148
1/09/2004,38.24,0.1,0.262191924,38.23,39.01,38.02,38.45,6.010161515,24443988,54.20957469,62.95935788,8238762,9553000,5252489
2/09/2004,39.18,0.94,2.458158996,37.91,39.64,37.91,38.74,6.010161515,24443988,59.90321281,69.4589106,8221077,9195895,5722554
3/09/2004,38.74,-0.44,-1.12302195,39.01,40.01,38.64,39.2,6.010161515,24443988,56.86194599,63.60437993,8179223,8172584,5228965
7/09/2004,38.51,-0.23,-0.5937016,39.03,39.36,38.11,38.57,6.010161515,24443988,71.41006122,71.35209543,8175938,7901375,5836047
8/09/2004,38.01,-0.5,-1.298364061,38.42,38.81,37.71,38.19,6.010161515,24443988,83.77190505,80.95868402,8149045,7770851,6619132
9/09/2004,38.07,0.06,0.157853197,38.22,38.31,37.36,37.79,6.010161515,24443988,89.58268189,85.42518879,8116944,7663348,6961337
10/09/2004,38.57,0.5,1.313370108,38.2,38.8,37.9,38.44,6.007945711,24443988,60.52810446,57.1456335,8091557,7544631,4638479
13/09/2004,40.01,1.44,3.73347161,39.131,40.04,38.82,39.6,6.007945711,24443988,107.2102206,99.96365965,8100402,7613095,8088616
14/09/2004,42.67,2.66,6.648337916,40.21,42.75,39.9,41.58,6.007945711,24443988,208.5740544,196.026567,8222483,7945264,15878940
15/09/2004,42.21,-0.46,-1.078040778,42,43.18,41.87,42.49,6.51272351,26497732,140.2534835,135.5248837,8259369,8058237,11143510
16/09/2004,42.57,0.36,0.852878465,42.45,44.28,42.35,43.35,6.51272351,26497732,143.9095236,140.4050337,8285013,8119254,11596570
17/09/2004,42.96,0.39,0.916138125,42.85,43.26,42.39,42.91,6.51272351,26497732,97.11784978,95.17480987,8258047,8102019,7885245
20/09/2004,43.27,0.31,0.72160149,42.84,43.99,42.61,43.41,6.51272351,26497732,113.8301006,111.6793823,8276125,8025668,9222536
21/09/2004,43.293,0.023,0.053154611,43.5,43.77,42.77,43.24,6.51272351,26497732,83.43970109,80.9145923,8267342,7943315,6696593
22/09/2004,41.38,-1.913,-4.418728201,43.15,43.24,41.17,41.91,6.51272351,26497732,153.8537732,147.8236982,8311104,8014280,12221090
23/09/2004,41.83,0.45,1.087481875,41.33,42.2,41.11,41.75,6.51272351,26497732,92.48472995,89.18171842,8336463,7946410,7411985
24/09/2004,40.94,-0.89,-2.127659574,41.81,41.91,40.85,41.27,6.51272351,26497732,78.2012851,74.54234368,8331864,7849572,6214195
27/09/2004,39.93,-1.01,-2.467024915,40.71,41.01,39.75,40.22,6.51272351,26497732,107.262941,101.0540067,8363145,7964192,8419682
28/09/2004,39.43,-0.5,-1.252191335,40.15,40.33,38.97,39.48,6.51272351,26497732,149.4970205,142.3654696,8413444,8088888,11906230
29/09/2004,40.84,1.41,3.575957393,39.45,40.92,39.36,40.3,6.51272351,26497732,122.6705362,117.9384153,8457848,8047545,9922682
30/09/2004,40.86,0.02,0.048971596,40.55,41.28,40.21,40.7411,6.51272351,26497732,116.9773539,111.3026009,8503852,8042776,9413805
1/10/2004,40.47,-0.39,-0.954478708,41.24,41.3,40.39,40.78,6.51272351,26497732,140.1424004,132.543937,8572663,7995204,11271340
4/10/2004,41.01,0.54,1.33432172,41.04,41.68,40.74,41.31,6.51272351,26497732,110.2347464,102.8092797,8590341,8062520,8813493
5/10/2004,40.96,-0.05,-0.121921483,40.84,41.25,40.57,40.9,6.51272351,26497732,63.78963137,59.87017085,8565046,8049482,5143052
6/10/2004,41.36,0.4,0.9765625,40.73,41.41,40.4,40.82,6.51272351,26497732,63.74096905,59.90415136,8464553,7965831,5130818
7/10/2004,41.15,-0.21,-0.507736944,41.36,42.7,40.85,41.72,6.51272351,26497732,118.0493028,111.0939733,8450978,8037459,9403608
8/10/2004,40,-1.15,-2.794653706,40.75,41.19,39.63,40.13,6.51272351,26497732,106.5461561,101.3326968,8402330,8090327,8563604
11/10/2004,40.15,0.15,0.375,39.82,40.75,39.41,39.88,6.51272351,26497732,97.9973966,94.35846562,8351828,8213260,7928310
12/10/2004,40.22,0.07,0.174346202,39.55,40.58,39.47,40.04,6.51272351,26497732,78.4536251,77.15196871,8330693,8170989,6443600
13/10/2004,39.98,-0.24,-0.596718051,41.43,41.55,39.75,40.56,6.51272351,26497732,112.859356,110.6957776,8293317,8273341,9221725
14/10/2004,39.1,-0.88,-2.20110055,39.45,39.55,38.73,39.02,6.51272351,26497732,109.3888663,109.1253862,8308200,8399929,9050114
15/10/2004,38.55,-0.55,-1.406649616,39.3,39.67,37.88,38.56,7.119525587,28966573,97.5474843,98.62448365,8332652,8482307,8193919
